dataset, opencv, finch_repeat, finch_sparse, taco_rle
omniglot, 4.0678e-6, 9.432899999999999e-6, 7.44499e-5, 2.5435300000000004e-5
humansketches, 0.0004159886, 0.0002965053, 0.0002842543, 0.00022556809999999997
