matrix, taco_times, finch_times, finch_gallop_times, finch_lead_times, finch_follow_times, finch_vbl_times
HB/lock3491, 0.000651242, 0.000748957, 0.000497483, 0.000438805, 0.000517793, 0.000172191
HB/bcsstk28, 0.001179308, 0.00140981, 0.001065035, 0.000754456, 0.00110178, 0.000197833
HB/man_5976, 0.001185918, 0.001392516, 0.00101343, 0.000778528, 0.001054424, 0.000246818
HB/bcsstk25, 0.0018407190000000002, 0.001985668, 0.001792122, 0.001121499, 0.00205527, 0.001278323
HB/cegb2802, 0.001344011, 0.001679521, 0.001373249, 0.00085135, 0.001407978, 0.000132822
HB/bcsstk16, 0.0012767520000000001, 0.001498883, 0.001256896, 0.000793646, 0.001302482, 0.000313048
HB/cegb2919, 0.0015479900000000002, 0.001925546, 0.001340895, 0.00098555, 0.001363596, 0.000232404
HB/bcsstk17, 0.00228801, 0.002818904, 0.002407187, 0.001503911, 0.002473787, 0.000701339
HB/psmigr_2, 0.002387923, 0.003402177, 0.000902331, 0.001809389, 0.000878219, 0.002398043
HB/psmigr_1, 0.0024430280000000003, 0.003490798, 0.000865236, 0.001850998, 0.00088663, 0.002448897
HB/psmigr_3, 0.002606923, 0.003631847, 0.000930625, 0.001905084, 0.000890697, 0.00256045
HB/bcsstk33, 0.002771247, 0.003424502, 0.002231687, 0.001795516, 0.002278267, 0.000714618
HB/bcsstk29, 0.003142623, 0.003761684, 0.00278229, 0.002023056, 0.002894505, 0.000811663
HB/bcsstk31, 0.006237701, 0.007512094, 0.006581103, 0.004072268, 0.006900338, 0.002868833
HB/bcsstk32, 0.011340969000000001, 0.013515421, 0.012204284, 0.006889129, 0.012811333, 0.002493221
HB/bcsstk30, 0.010268953, 0.012763057, 0.011323177, 0.006374284, 0.011589344, 0.002149014
