matrix, taco_times, finch_times, finch_gallop_times, finch_lead_times, finch_follow_times, finch_vbl_times
HB/lock3491, 0.0038551370000000002, 0.002413391, 0.000897577, 0.00115766, 0.002233238, 0.00059029
HB/bcsstk28, 0.006104616, 0.003615888, 0.001285341, 0.001641346, 0.003493627, 0.000920185
HB/man_5976, 0.010874781, 0.005849764, 0.0020963, 0.00238602, 0.006551829, 0.001556563
HB/bcsstk25, 0.057832251, 0.025758982, 0.007791042, 0.007717465, 0.034165183, 0.00805592
HB/cegb2802, 0.0031493500000000004, 0.002422327, 0.000829232, 0.001443149, 0.001541293, 0.000439584
HB/bcsstk16, 0.007920380000000001, 0.004889707, 0.001829911, 0.002307312, 0.004542517, 0.001367932
HB/cegb2919, 0.003764299, 0.003000472, 0.001078158, 0.00172737, 0.001955915, 0.000638797
HB/bcsstk17, 0.032663654, 0.016056996, 0.005152316, 0.005591748, 0.019374473, 0.004580563
HB/psmigr_2, 0.007387253000000001, 0.011547036, 0.006753551, 0.007076976, 0.00802878, 0.008212716
HB/psmigr_1, 0.007311953, 0.011313248, 0.006694999, 0.007004072, 0.007899149, 0.008128114
HB/psmigr_3, 0.007340739000000001, 0.011469841, 0.006662747, 0.007048446, 0.007978671, 0.0081462
HB/bcsstk33, 0.022222073000000002, 0.013151373, 0.004634502, 0.005595065, 0.013354191, 0.003732857
HB/bcsstk29, 0.052142796000000005, 0.024540668, 0.007667497, 0.00833568, 0.030331948, 0.006677108
HB/bcsstk31, 0.32746303600000004, 0.137438197, 0.036864118, 0.037665959, 0.18930187, 0.036011604
HB/bcsstk32, 0.53605462, 0.21924983, 0.055371324, 0.058858659, 0.307067605, 0.051672075
HB/bcsstk30, 0.22172708400000002, 0.097388934, 0.026089464, 0.030527164, 0.126157188, 0.023436211
