p, opencv_time, finch_time
0.1, 0.030305696000000003, 0.054663631
0.05, 0.030317417000000003, 0.024915711
0.01, 0.030260838, 0.003185859
0.005, 0.029882370000000002, 0.001399105
0.001, 0.029862659000000003, 0.000218383
0.0005, 0.029534312000000004, 6.9053e-5
0.0001, 0.030443481, 1.2919e-5
